"","ID","RestPct","MovingPct","FeedingPct","AvgNumNN","AvgDistNN","RivDist","AnthDist","nObs"
"161","HB1310",68.75,0,0,5.09090909090909,0.5,126.59,83.06,16
"162","HB1311",43.75,25,25,2.53333333333333,1.53333333333333,125.43,83.62,16
"163","HB1312",18.75,12.5,31.25,2.3,3,166.3,92.17,16
"164","HB1313",50,25,6.25,1.46153846153846,5.46153846153846,166.3,92.17,16
"165","HB1314",87.5,0,12.5,1.5,4.375,223.01,40.7,16
"166","HB1315",56.25,18.75,25,1.4375,4.875,245.06,62.91,16
"167","HB1316",56.25,25,0,2.23076923076923,3.88461538461538,265.59,54.73,16
"168","HB1317",75,25,0,1.4375,3.6875,199.26,10.59,16
"169","HB1318",100,0,0,2.25,0.375,154.6,31.85,16
"170","HB1319",31.25,50,12.5,1,7.06666666666667,156.72,31.74,16
"171","HB1320",75,6.25,0,2.38461538461538,2.19230769230769,80.08,89.91,16
"172","HB1321",56.25,12.5,0,0.818181818181818,5.81818181818182,476.29,114.93,16
"173","HB1323",100,0,0,0.4375,13,484.62,126.72,16
"174","HB1324",93.75,6.25,0,1,1.75,486.21,124.48,16
"175","HB1325",37.5,37.5,6.25,1.23076923076923,4.84615384615385,47.93,170.19,16
"176","HB1326",6.25,12.5,62.5,0.615384615384615,5,49.41,178.57,16
"177","HB1327",12.5,12.5,62.5,0.285714285714286,9.85714285714286,49.41,178.57,16
"178","HB1328",25,12.5,56.25,1.6,2.2,75.5,217.84,16
"179","HB1329",87.5,6.25,6.25,2.1875,1,118.61,88.69,16
"180","HB1330",93.75,0,6.25,0.6,10,107.25,94.17,16
"181","HB1331",87.5,6.25,0,1.86666666666667,0.6,118.32,119.41,16
"182","HB1332",100,0,0,2,0.5,118.69,119.52,16
"183","HB1333",100,0,0,1.6875,0.6875,120.1,117.76,16
